77198927 function calls (77187189 primitive calls) in 127.986 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        7    0.000    0.000    0.000    0.000 enum.py:451(__prepare__)
      146    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
    23/17    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      125    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
        5    0.000    0.000    0.002    0.000 serialisable.py:231(__copy__)
        6    0.000    0.000    0.000    0.000 child.py:70(title)
        1    0.000    0.000    0.004    0.004 cache.py:1(<module>)
        1    0.000    0.000    0.000    0.000 zipfile.py:2222(CompleteDirs)
        1    0.000    0.000    0.006    0.006 fill.py:1(<module>)
       12    0.000    0.000    0.000    0.000 __init__.py:23(decorator)
       42    0.000    0.000    0.000    0.000 enum.py:37(_is_descriptor)
        1    0.000    0.000    0.000    0.000 case.py:344(TestCase)
        2    0.000    0.000    0.002    0.001 colors.py:1(<module>)
      171    0.000    0.000    0.000    0.000 base.py:223(__init__)
       17    0.000    0.000    0.000    0.000 enum.py:753(__getattr__)
        1    0.000    0.000    0.003    0.003 fonts.py:1(<module>)
        1    0.000    0.000    0.000    0.000 datetime.py:1665(datetime)
      241    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:931(create_module)
        1    0.000    0.000    0.146    0.146 manifest.py:1(<module>)
        7    0.000    0.000    0.000    0.000 enum.py:987(_find_new_)
      150    0.000    0.000    0.000    0.000 child.py:55(parent)
       29    0.000    0.000    0.000    0.000 {method 'finditer' of 're.Pattern' objects}
        2    0.000    0.000    0.008    0.004 excel.py:190(write_worksheet)
      215    0.000    0.000    0.000    0.000 {method 'get' of 'xml.etree.ElementTree.Element' objects}
        4    0.000    0.000    0.002    0.000 properties.py:1(<module>)
        1    0.000    0.000    0.001    0.001 fills.py:1(<module>)
       30    0.000    0.000    0.000    0.000 argparse.py:1662(_add_action)
        1    0.000    0.000    0.040    0.040 _chart.py:1(<module>)
        1    0.000    0.000    0.044    0.044 styleable.py:1(<module>)
        1    0.000    0.000    0.009    0.009 zipfile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 argparse.py:878(BooleanOptionalAction)
        1    0.000    0.000    0.001    0.001 bar_chart.py:1(<module>)
       81    0.000    0.000    0.000    0.000 <frozen os>:741(check_str)
        1    0.000    0.000    0.003    0.003 effect.py:1(<module>)
       17    0.000    0.000    0.001    0.000 <frozen abc>:105(__new__)
        3    0.000    0.000    0.000    0.000 {function Random.seed at 0x000001DA1098FF60}
        1    0.000    0.000    0.023    0.023 1.py:132(set_cities)
       14    0.000    0.000    0.000    0.000 enum.py:923(_get_mixins_)
        1    0.000    0.000    0.001    0.001 stylesheet.py:1(<module>)
       10    0.000    0.000    0.000    0.000 alignment.py:68(__iter__)
        1    0.000    0.000    0.001    0.001 nested.py:1(<module>)
        1    0.000    0.000    0.005    0.005 named_styles.py:1(<module>)
        1    0.000    0.000    0.005    0.005 pathlib.py:1(<module>)
        1    0.000    0.000    0.029    0.029 sequence.py:1(<module>)
        1    0.000    0.000    0.025    0.025 functions.py:1(<module>)
       14    0.000    0.000    0.000    0.000 hashlib.py:126(__get_openssl_constructor)
        1    0.000    0.000    0.045    0.045 area_chart.py:1(<module>)
      9/8    0.000    0.000    0.023    0.003 <frozen importlib._bootstrap_external>:1231(create_module)
       35    0.000    0.000    0.000    0.000 <frozen _collections_abc>:771(get)
        1    0.000    0.000    0.001    0.001 encoder.py:1(<module>)
       30    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
       59    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
        1    0.000    0.000    0.000    0.000 serialisable.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pathlib.py:112(_WindowsFlavour)
       37    0.000    0.000    0.000    0.000 nested.py:42(to_tree)
        1    0.000    0.000    0.006    0.006 case.py:1(<module>)
        1    0.000    0.000    0.003    0.003 series.py:1(<module>)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:254(_requires_builtin_wrapper)
        1    0.000    0.000    0.003    0.003 stylesheet.py:232(write_stylesheet)
        1    0.000    0.000    0.023    0.023 excel.py:273(save)
       64    0.000    0.000    0.000    0.000 colors.py:143(__init__)
        1    0.000    0.000    0.003    0.003 hashlib.py:1(<module>)
      129    0.000    0.000    0.000    0.000 cell.py:127(col_idx)
        2    0.000    0.000    0.001    0.000 _writer.py:303(write_tail)
       20    0.000    0.000    0.003    0.000 _writer.py:287(get_stream)
       16    0.000    0.000    0.002    0.000 argparse.py:2576(_get_formatter)
        1    0.000    0.000    0.008    0.008 main.py:66(__init__)
       50    0.000    0.000    0.000    0.000 fills.py:59(<listcomp>)
        9    0.000    0.000    0.000    0.000 contextlib.py:543(__exit__)
        6    0.000    0.000    0.000    0.000 argparse.py:1640(__init__)
        2    0.000    0.000    0.000    0.000 enum.py:891(<listcomp>)
        3    0.000    0.000    0.000    0.000 enum.py:1357(_missing_)
        9    0.000    0.000    0.000    0.000 {method 'detach' of '_io.TextIOWrapper' objects}
        2    0.000    0.000    0.000    0.000 __init__.py:43(normalize_encoding)
        1    0.000    0.000    0.015    0.015 shapes.py:1(<module>)
        1    0.000    0.000    0.001    0.001 external.py:1(<module>)
       98    0.000    0.000    0.000    0.000 _compiler.py:426(_get_iscased)
       52    0.000    0.000    0.000    0.000 {method 'find' of 'xml.etree.ElementTree.Element' objects}
        1    0.000    0.000    0.002    0.002 geometry.py:1(<module>)
        1    0.000    0.000    0.000    0.000 text.py:119(CharacterProperties)
        1    0.000    0.000    0.000    0.000 formulas.py:1(<module>)
       31    0.000    0.000    0.000    0.000 {built-in method _struct.pack}
        1    0.000    0.000    0.002    0.002 chartspace.py:136(ChartSpace)
       30    0.000    0.000    0.000    0.000 zipfile.py:481(_encodeFilenameFlags)
        1    0.000    0.000    0.000    0.000 pivot.py:1(<module>)
        2    0.000    0.000    0.001    0.001 zipfile.py:1759(write)
       54    0.000    0.000    0.000    0.000 enum.py:69(_is_internal_class)
        1    0.000    0.000    0.003    0.003 main.py:169(_getParentArgParser)
       16    0.000    0.000    0.000    0.000 <frozen genericpath>:121(_splitext)
      163    0.000    0.000    0.000    0.000 {method 'append' of 'xml.etree.ElementTree.Element' objects}
