77198927 function calls (77187189 primitive calls) in 127.986 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
2086/1062    0.002    0.000    0.037    0.000 serialisable.py:184(__ne__)
      242    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:48(_new_module)
      256    0.002    0.000    0.129    0.001 <frozen importlib._bootstrap_external>:1464(_get_spec)
      861    0.002    0.000    0.004    0.000 functions.py:75(localname)
      936    0.002    0.000    0.007    0.000 nested.py:28(__set__)
        8    0.002    0.000    0.004    0.000 {built-in method io.open}
      311    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:100(acquire)
      482    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      250    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:778(spec_from_file_location)
     2095    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
     1034    0.002    0.000    0.002    0.000 {method 'match' of 're.Pattern' objects}
     2083    0.002    0.000    0.002    0.000 colors.py:97(value)
      183    0.001    0.000    0.010    0.000 borders.py:87(__init__)
   144/27    0.001    0.000    0.004    0.000 serialisable.py:106(to_tree)
   166/55    0.001    0.000    0.024    0.000 _parser.py:447(_parse_sub)
      523    0.001    0.000    0.002    0.000 borders.py:105(__iter__)
      139    0.001    0.000    0.004    0.000 colors.py:80(__init__)
      311    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:125(release)
    241/5    0.001    0.000    0.826    0.165 <frozen importlib._bootstrap_external>:934(exec_module)
     1001    0.001    0.000    0.099    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      547    0.001    0.000    0.002    0.000 {method 'write' of '_io.TextIOWrapper' objects}
      794    0.001    0.000    0.003    0.000 {built-in method builtins.max}
      720    0.001    0.000    0.002    0.000 mimetypes.py:86(add_type)
    152/9    0.001    0.000    0.002    0.000 ElementTree.py:864(_serialize_xml)
      280    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:172(_path_isabs)
      723    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      241    0.001    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
      722    0.001    0.000    0.002    0.000 base.py:126(__set__)
       30    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1655(_fill_cache)
      574    0.001    0.000    0.003    0.000 named_styles.py:76(__setattr__)
      722    0.001    0.000    0.003    0.000 base.py:140(__set__)
  266/264    0.001    0.000    0.043    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
     1446    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      241    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:642(_classify_pyc)
       50    0.001    0.000    0.003    0.000 ElementTree.py:1325(XML)
       31    0.001    0.000    2.164    0.070 __init__.py:1(<module>)
  191/180    0.001    0.000    0.080    0.000 <frozen importlib._bootstrap>:1209(_handle_fromlist)
        3    0.001    0.000    0.001    0.000 heapq.py:523(nlargest)
      250    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1599(_get_spec)
     1874    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
        9    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
      168    0.001    0.000    0.003    0.000 base.py:119(__init__)
      371    0.001    0.000    0.004    0.000 base.py:102(__set__)
     1342    0.001    0.000    0.001    0.000 _parser.py:247(match)
     2510    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
   575/10    0.001    0.000    0.823    0.082 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
     1057    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1032(__exit__)
      441    0.001    0.000    0.002    0.000 colors.py:131(__set__)
        9    0.001    0.000    0.002    0.000 __init__.py:348(namedtuple)
      342    0.001    0.000    0.036    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      138    0.001    0.000    0.077    0.001 styleable.py:23(__set__)
       31    0.001    0.000    0.001    0.000 enum.py:233(__set_name__)
      249    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
      274    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:71(__init__)
      274    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:198(cb)
     1057    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1028(__enter__)
      601    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:405(parent)
        3    0.001    0.000    0.001    0.000 {built-in method nt.open}
      129    0.001    0.000    0.089    0.001 1.py:154(setCell)
      277    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:169(__enter__)
        2    0.001    0.000    0.001    0.000 {built-in method nt.remove}
       16    0.001    0.000    0.001    0.000 {built-in method nt.get_terminal_size}
      969    0.001    0.000    0.001    0.000 _parser.py:158(__len__)
       63    0.001    0.000    0.008    0.000 fonts.py:69(__init__)
      316    0.001    0.000    0.002    0.000 base.py:82(__set__)
      490    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap>:392(cached)
       32    0.001    0.000    0.001    0.000 {method 'seek' of '_io.BufferedRandom' objects}
      437    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1421(_path_importer_cache)
        9    0.001    0.000    0.001    0.000 ElementTree.py:803(_namespaces)
       55    0.001    0.000    0.041    0.001 _compiler.py:738(compile)
      280    0.001    0.000    0.001    0.000 {built-in method nt._path_splitroot}
       55    0.001    0.000    0.003    0.000 _compiler.py:509(_compile_info)
      129    0.001    0.000    0.002    0.000 worksheet.py:247(_get_cell)
      388    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
        1    0.001    0.001    0.041    0.041 builtins.py:1(<module>)
      241    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:675(_validate_timestamp_pyc)
      707    0.001    0.000    0.001    0.000 _parser.py:170(append)
     1014    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
      241    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:599(_check_name_wrapper)
      241    0.001    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:1146(path_stats)
      272    0.001    0.000    0.001    0.000 __init__.py:89(find_spec)
      601    0.001    0.000    0.001    0.000 _parser.py:284(tell)
      108    0.001    0.000    0.001    0.000 sequence.py:23(__set__)
       55    0.001    0.000    0.025    0.000 _parser.py:970(parse)
      632    0.000    0.000    0.001    0.000 {built-in method builtins.sorted}
      266    0.000    0.000    0.003    0.000 borders.py:49(__init__)
      110    0.000    0.000    0.001    0.000 enum.py:1483(__and__)
     1642    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
     1011    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      312    0.000    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
     1642    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      156    0.000    0.000    0.078    0.000 indexed_list.py:47(add)
      256    0.000    0.000    0.129    0.001 <frozen importlib._bootstrap_external>:1496(find_spec)
       54    0.000    0.000    0.001    0.000 enum.py:352(__setitem__)
        2    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedWriter' objects}
        8    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
      272    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
      277    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:173(__exit__)
       55    0.000    0.000    0.004    0.000 alignment.py:45(__init__)
      167    0.000    0.000    0.040    0.000 indexed_list.py:42(append)
      129    0.000    0.000    0.001    0.000 cell.py:105(__init__)
      130    0.000    0.000    0.001    0.000 _compiler.py:214(_compile_charset)
        9    0.000    0.000    0.003    0.000 enum.py:466(__new__)
      257    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:922(find_spec)
        1    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedRandom' objects}
      861    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
       52    0.000    0.000    0.003    0.000 named_styles.py:51(__init__)
        1    0.000    0.000    0.000    0.000 numbers.py:56(<listcomp>)
      211    0.000    0.000    0.001    0.000 _compiler.py:396(_simple)
